"date","y"
"2021-08-24",2491
"2021-08-25",3471
"2021-08-26",3554
"2021-08-27",3768
"2021-08-28",1676
"2021-08-29",1434
"2021-08-30",6390
"2021-08-31",3192
"2021-09-01",4000
"2021-09-02",4060
"2021-09-03",4226
"2021-09-04",1713
"2021-09-05",1801
"2021-09-06",1504
"2021-09-07",9072
"2021-09-08",3937
"2021-09-09",4230
"2021-09-10",4646
"2021-09-11",1128
"2021-09-12",2793
"2021-09-13",8690
"2021-09-14",4304
"2021-09-15",4457
"2021-09-16",4637
"2021-09-17",5050
"2021-09-18",1998
"2021-09-19",1817
"2021-09-20",8566
"2021-09-21",3871
"2021-09-22",4137
"2021-09-23",4572
"2021-09-24",4527
"2021-09-25",1253
"2021-09-26",1112
"2021-09-27",10851
"2021-09-28",3627
"2021-09-29",4418
"2021-09-30",3748
"2021-10-01",5192
"2021-10-02",1872
"2021-10-03",1464
"2021-10-04",7913
"2021-10-05",2918
"2021-10-06",3845
"2021-10-07",4148
"2021-10-08",4114
"2021-10-09",1755
"2021-10-10",1569
"2021-10-11",1378
"2021-10-12",7038
"2021-10-13",2715
"2021-10-14",3355
"2021-10-15",3442
"2021-10-16",1598
"2021-10-17",1292
"2021-10-18",5375
"2021-10-19",2303
"2021-10-20",2788
"2021-10-21",2870
"2021-10-22",2575
"2021-10-23",1778
"2021-10-24",1496
"2021-10-25",3317
"2021-10-26",1830
"2021-10-27",2657
"2021-10-28",2658
"2021-10-29",2534
"2021-10-30",1788
"2021-10-31",1563
"2021-11-01",3003
"2021-11-02",1953
"2021-11-03",2397
"2021-11-04",2680
"2021-11-05",2571
"2021-11-06",1432
"2021-11-07",1233
"2021-11-08",4520
"2021-11-09",2505
"2021-11-10",2728
"2021-11-11",1618
"2021-11-12",3828
"2021-11-13",1495
"2021-11-14",1301
"2021-11-15",4026
"2021-11-16",2107
"2021-11-17",2613
"2021-11-18",2838
"2021-11-19",2755
"2021-11-20",1866
"2021-11-21",1470
"2021-11-22",4165
"2021-11-23",2378
"2021-11-24",2797
"2021-11-25",4397
"2021-11-26",3025
"2021-11-27",2202
"2021-11-28",1734
"2021-11-29",3774
"2021-11-30",2618
"2021-12-01",3417
"2021-12-02",3382
"2021-12-03",3636
"2021-12-04",2623
"2021-12-05",2310
"2021-12-06",4687
"2021-12-07",3255
"2021-12-08",3937
"2021-12-09",4516
"2021-12-10",3085
"2021-12-11",5743
"2021-12-12",3531
"2021-12-13",6103
"2021-12-14",5240
"2021-12-15",7181
"2021-12-16",7923
